Month of Month,County,Total ED Visits
March 2023,Durham,9310
April 2023,Durham,9051
May 2023,Durham,9335
June 2023,Durham,9255
July 2023,Durham,9249
August 2023,Durham,9702
September 2023,Durham,9639
October 2023,Durham,9639
November 2023,Durham,9659
December 2023,Durham,10321
January 2024,Durham,10083
February 2024,Durham,9544
March 2024,Durham,10149
April 2024,Durham,9847
May 2024,Durham,10181
June 2024,Durham,9723
July 2024,Durham,9919
August 2024,Durham,9838
September 2024,Durham,10106
October 2024,Durham,10245
November 2024,Durham,9727
December 2024,Durham,10280
January 2025,Durham,10530
February 2025,Durham,9408
March 2025,Durham,10178
January 2019,Davidson,6883
February 2019,Davidson,6722
March 2019,Davidson,7095
April 2019,Davidson,7013
May 2019,Davidson,7369
June 2019,Davidson,6501
July 2019,Davidson,6910
August 2019,Davidson,6731
September 2019,Davidson,7060
October 2019,Davidson,6790
November 2019,Davidson,6224
December 2019,Davidson,7034
January 2020,Davidson,6765
February 2020,Davidson,6436
March 2020,Davidson,5774
April 2020,Davidson,3680
May 2020,Davidson,4587
June 2020,Davidson,5280
July 2020,Davidson,5723
August 2020,Davidson,5781
September 2020,Davidson,5719
October 2020,Davidson,6082
November 2020,Davidson,5754
December 2020,Davidson,5784
January 2021,Davidson,5721
February 2021,Davidson,4843
March 2021,Davidson,5774
April 2021,Davidson,6075
May 2021,Davidson,5756
June 2021,Davidson,6309
July 2021,Davidson,7105
August 2021,Davidson,8033
September 2021,Davidson,7080
October 2021,Davidson,6242
November 2021,Davidson,6175
December 2021,Davidson,7295
January 2022,Davidson,6905
February 2022,Davidson,5335
March 2022,Davidson,6413
April 2022,Davidson,6551
May 2022,Davidson,7310
June 2022,Davidson,6761
July 2022,Davidson,6803
August 2022,Davidson,6656
September 2022,Davidson,6823
October 2022,Davidson,7273
November 2022,Davidson,7364
December 2022,Davidson,7077
January 2023,Davidson,6980
February 2023,Davidson,6207
March 2023,Davidson,6712
April 2023,Davidson,6358
May 2023,Davidson,6897
June 2023,Davidson,6484
July 2023,Davidson,6712
August 2023,Davidson,6728
September 2023,Davidson,6690
October 2023,Davidson,6880
November 2023,Davidson,6718
December 2023,Davidson,7803
January 2024,Davidson,7065
February 2024,Davidson,6568
March 2024,Davidson,7399
April 2024,Davidson,6962
May 2024,Davidson,7092
June 2024,Davidson,6685
July 2024,Davidson,6917
August 2024,Davidson,7216
September 2024,Davidson,6885
October 2024,Davidson,6800
November 2024,Davidson,6504
December 2024,Davidson,7173
January 2025,Davidson,7284
February 2025,Davidson,6896
March 2025,Davidson,7213
January 2019,Caldwell,4210
February 2019,Caldwell,4038
March 2019,Caldwell,4264
April 2019,Caldwell,4103
May 2019,Caldwell,4283
June 2019,Caldwell,3918
July 2019,Caldwell,4061
